Month,GridCompany,GridCompanyName,NumberofChangesforSmallConsumers,NumberofChangesforLargeConsumers
2023-09-01T00:00:00,051,Elinord A/S,159,4
2023-09-01T00:00:00,084,Kimbrer Elnet A/S,26,0
2023-09-01T00:00:00,085,Læsø Elnet A/S,12,0
2023-09-01T00:00:00,131,N1 A/S - 131,3959,35
2023-09-01T00:00:00,141,Hammel Elforsyning Net A/S,43,0
2023-09-01T00:00:00,151,Konstant Net A/S - 151,1144,5
2023-09-01T00:00:00,154,Elnet Midt A/S,235,20
2023-09-01T00:00:00,233,Dinel A/S - 233,874,3
2023-09-01T00:00:00,244,TREFOR El-Net A/S,990,19
2023-09-01T00:00:00,245,Konstant Net A/S - 245,473,6
2023-09-01T00:00:00,331,Netselskabet Elværk A/S - 331,174,3
2023-09-01T00:00:00,341,GEV Elnet A/S,24,2
2023-09-01T00:00:00,342,Ikast El Net A/S,69,3
2023-09-01T00:00:00,344,N1 A/S - 344,2318,49
2023-09-01T00:00:00,347,NOE Net A/S,159,1
2023-09-01T00:00:00,348,RAH Net A/S,380,3
2023-09-01T00:00:00,351,L-Net A/S,139,1
2023-09-01T00:00:00,357,Forsyning Elnet A/S,21,0
2023-09-01T00:00:00,370,Aal El-net A.m.b.a,18,0
2023-09-01T00:00:00,371,Hjerting Transformatorforening,11,0
2023-09-01T00:00:00,381,Hurup Elværk Net A/S,12,0
2023-09-01T00:00:00,384,Tarm Elværk Net A/S,19,0
2023-09-01T00:00:00,385,Videbæk Elnet A/S,14,0
2023-09-01T00:00:00,396,Sunds Net A.m.b.a,15,0
2023-09-01T00:00:00,398,N1 A/S - 398,10,0
2023-09-01T00:00:00,531,Ravdex A/S,106,1
2023-09-01T00:00:00,532,Veksel A/S,54,1
2023-09-01T00:00:00,533,FLOW Elnet A/S,275,1
2023-09-01T00:00:00,543,Vores Elnet A/S,1162,24
2023-09-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,43,0
2023-09-01T00:00:00,740,Cerius A/S - 740,2983,153
2023-09-01T00:00:00,757,Elektrus A/S,107,0
2023-09-01T00:00:00,791,Radius Elnet A/S,7422,234
2023-09-01T00:00:00,853,Cerius A/S - 853,50,0
2023-09-01T00:00:00,854,NKE-Elnet A/S,115,0
2023-09-01T00:00:00,860,Zeanet A/S,141,2
2023-09-01T00:00:00,911,TREFOR El-Net Øst A/S,86,0
