HourUTC,HourDK,GridCompany,ResidualConsumption,FlexSettledConsumption,HourlySettledConsumption
2023-12-31T20:00:00,2023-12-31T21:00:00,351,,8727.81,27749.94
2023-12-31T20:00:00,2023-12-31T21:00:00,357,,2658.55,1848.98
2023-12-31T20:00:00,2023-12-31T21:00:00,370,,1327.412,266.541
2023-12-31T20:00:00,2023-12-31T21:00:00,371,,1575.951,215.8
2023-12-31T20:00:00,2023-12-31T21:00:00,381,,812.97,1028.99
2023-12-31T20:00:00,2023-12-31T21:00:00,384,,1209.74,2601.14
2023-12-31T20:00:00,2023-12-31T21:00:00,385,,1411.09,13448.91
2023-12-31T20:00:00,2023-12-31T21:00:00,396,,1351.75,400.77
2023-12-31T20:00:00,2023-12-31T21:00:00,398,,1349.317,1022.939
2023-12-31T20:00:00,2023-12-31T21:00:00,531,,10193.771,6737.34
2023-12-31T20:00:00,2023-12-31T21:00:00,532,,8011.68,1774.59
2023-12-31T20:00:00,2023-12-31T21:00:00,533,,19946.726,31364.41
2023-12-31T20:00:00,2023-12-31T21:00:00,543,,112734.02,147884.493
2023-12-31T20:00:00,2023-12-31T21:00:00,584,,4272.23,3743.62
2023-12-31T20:00:00,2023-12-31T21:00:00,740,,288970.795,178841.456
2023-12-31T20:00:00,2023-12-31T21:00:00,757,,8366.73,3914.69
2023-12-31T20:00:00,2023-12-31T21:00:00,791,,567334.67,440079.953
2023-12-31T20:00:00,2023-12-31T21:00:00,853,,4122.444,9932.053
2023-12-31T20:00:00,2023-12-31T21:00:00,854,,7402.983,3107.105
2023-12-31T20:00:00,2023-12-31T21:00:00,860,,10551.586,7176.508
2023-12-31T20:00:00,2023-12-31T21:00:00,911,,19561.798,7984.4
2023-12-31T20:00:00,2023-12-31T21:00:00,950,,73.3,
2023-12-31T20:00:00,2023-12-31T21:00:00,951,,9000.0,
2023-12-31T20:00:00,2023-12-31T21:00:00,952,,58171.4,
2023-12-31T20:00:00,2023-12-31T21:00:00,953,,8440.0,
2023-12-31T20:00:00,2023-12-31T21:00:00,954,,17845.0,
2023-12-31T20:00:00,2023-12-31T21:00:00,960,,157.6,
2023-12-31T20:00:00,2023-12-31T21:00:00,962,,11149.008,
2023-12-31T20:00:00,2023-12-31T21:00:00,990,,10420.0,
2023-12-31T19:00:00,2023-12-31T20:00:00,003,,92687.468,0.0
2023-12-31T19:00:00,2023-12-31T20:00:00,007,,77516.708,0.0
2023-12-31T19:00:00,2023-12-31T20:00:00,016,,577.082,35.97
2023-12-31T19:00:00,2023-12-31T20:00:00,031,,78443.345,92001.565
2023-12-31T19:00:00,2023-12-31T20:00:00,042,,11676.72,9387.63
2023-12-31T19:00:00,2023-12-31T20:00:00,051,,13692.925,25523.85
2023-12-31T19:00:00,2023-12-31T20:00:00,084,,2268.09,660.78
2023-12-31T19:00:00,2023-12-31T20:00:00,085,,2085.49,245.06
2023-12-31T19:00:00,2023-12-31T20:00:00,131,,339225.814,319479.287
2023-12-31T19:00:00,2023-12-31T20:00:00,141,,2154.77,890.69
2023-12-31T19:00:00,2023-12-31T20:00:00,151,,106525.826,350776.117
2023-12-31T19:00:00,2023-12-31T20:00:00,154,,12071.483,57087.344
2023-12-31T19:00:00,2023-12-31T20:00:00,233,,74491.327,35505.506
2023-12-31T19:00:00,2023-12-31T20:00:00,244,,90318.536,99135.346
2023-12-31T19:00:00,2023-12-31T20:00:00,245,,43292.183,33000.643
2023-12-31T19:00:00,2023-12-31T20:00:00,312,,2619.652,
2023-12-31T19:00:00,2023-12-31T20:00:00,331,,23146.276,15590.58
2023-12-31T19:00:00,2023-12-31T20:00:00,341,,2472.423,1787.587
2023-12-31T19:00:00,2023-12-31T20:00:00,342,,5812.57,1739.85
2023-12-31T19:00:00,2023-12-31T20:00:00,344,,257344.286,293126.971
2023-12-31T19:00:00,2023-12-31T20:00:00,347,,26056.753,18367.051
2023-12-31T19:00:00,2023-12-31T20:00:00,348,,47414.391,65468.84
2023-12-31T19:00:00,2023-12-31T20:00:00,351,,9439.61,28278.35
2023-12-31T19:00:00,2023-12-31T20:00:00,357,,2908.74,1836.02
2023-12-31T19:00:00,2023-12-31T20:00:00,370,,1382.599,284.367
2023-12-31T19:00:00,2023-12-31T20:00:00,371,,1780.985,242.17
2023-12-31T19:00:00,2023-12-31T20:00:00,381,,841.38,1101.72
2023-12-31T19:00:00,2023-12-31T20:00:00,384,,1288.34,2398.64
2023-12-31T19:00:00,2023-12-31T20:00:00,385,,1494.24,12605.77
2023-12-31T19:00:00,2023-12-31T20:00:00,396,,1483.008,398.71
2023-12-31T19:00:00,2023-12-31T20:00:00,398,,1446.73,1070.941
2023-12-31T19:00:00,2023-12-31T20:00:00,531,,11204.599,6708.93
2023-12-31T19:00:00,2023-12-31T20:00:00,532,,8773.9,1861.56
2023-12-31T19:00:00,2023-12-31T20:00:00,533,,21552.971,31468.47
2023-12-31T19:00:00,2023-12-31T20:00:00,543,,122423.586,146709.625
2023-12-31T19:00:00,2023-12-31T20:00:00,584,,4698.85,3522.51
2023-12-31T19:00:00,2023-12-31T20:00:00,740,,306476.724,178822.338
2023-12-31T19:00:00,2023-12-31T20:00:00,757,,9133.84,4052.93
2023-12-31T19:00:00,2023-12-31T20:00:00,791,,611655.349,436635.862
2023-12-31T19:00:00,2023-12-31T20:00:00,853,,4402.07,10660.356
2023-12-31T19:00:00,2023-12-31T20:00:00,854,,8026.815,3114.394
2023-12-31T19:00:00,2023-12-31T20:00:00,860,,11468.412,7181.547
